business_activities,cuisine_name,license_no,licensing_agency,number_of_employees,latitude,longitude
General Trading,Not Applicable,538126,Department of Economic Development- Dubai,32,25.12885548978917,55.24131506681442
Coffee Shop,International cuisine,601649,Department of Economic Development- Dubai,19,25.24088716193736,55.34113066748637
Cafeteria,Not Applicable,1249884,Department of Economic Development- Dubai,18,25.26012952687131,55.19525199414056
Coffee Shop,Not Applicable,910655,Department of Economic Development- Dubai,12,25.2614775,55.315096
Cafeteria,International cuisine,831294,Department of Economic Development- Dubai,10,25.28323169539541,55.33867691
Restaurant,Greek Cuisine,888328,Department of Economic Development- Dubai,6,,
Grinding Shop,Not Applicable,224515,Department of Economic Development- Dubai,1,25.17226697832769,55.35785421320439
Coffee Trading,Not Applicable,928870,Department of Economic Development- Dubai,6,25.19876337922655,55.27964646627826
Restaurant,Indian cuisine,673614,Department of Economic Development- Dubai,6,25.281466045298227,55.39795167334157
Coffee Shop,International cuisine,915986,Department of Economic Development- Dubai,8,25.278732698504264,55.333513802343774
General Trading,Indian cuisine,868172,Department of Economic Development- Dubai,1,25.277859978861034,55.34016051292562
Restaurant,American Cuisine,3676,Department of Economic Development- Dubai,3,24.987023871073863,55.09042925
Restaurant,American Cuisine,1039188,Department of Economic Development- Dubai,11,,
Cafeteria,Indian cuisine,841300,Department of Economic Development- Dubai,10,25.232009992786825,55.26751281347444
Supermarket,,929537,Department of Economic Development- Dubai,27,25.003677241330927,55.22330719833987
Grocery Store,,507864,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Japanese Cuisine,1020891,Department of Economic Development- Dubai,29,25.145924526125068,55.207643962198766
Restaurant,American Cuisine,868754,Department of Economic Development- Dubai,4,25.024111865346327,55.10546534213791
Catering Services,International cuisine,1051441,Department of Economic Development- Dubai,15,25.19857296730768,55.28054237365723
Restaurant,Indian cuisine,994654,Department of Economic Development- Dubai,5,25.272268064717995,55.301740970733626
Restaurant,Chinese cuisine,544089,Department of Economic Development- Dubai,42,25.25939802,55.32521910573325
Restaurant,,682533,Department of Economic Development- Dubai,4,25.1642673,55.4148436
Coffee Shop,Not Applicable,966577,Department of Economic Development- Dubai,1,25.276133408070564,55.30972480773926
School,Not Applicable,122547,Department of Economic Development- Dubai,5,25.135067054900905,55.20964622497559
School,International cuisine,752363,Department of Economic Development- Dubai,2,25.09088717450137,55.30635327100754
Mini Store,Not Applicable,673730,Department of Economic Development- Dubai,1,25.074681030163315,55.13872903442973
Restaurant,International cuisine,1076379,Department of Economic Development- Dubai,30,25.097630186194767,55.15657067298889
Cafeteria,International cuisine,1186490,Department of Economic Development- Dubai,2,25.11637798,55.20681381225586
Food & Beverages Trading (Sub-activity of Trading),Indian cuisine,119863,Department of Economic Development- Dubai,19,25.2243939,55.5146653
Food & Beverages Trading (Sub-activity of Trading),Arabic cuisine,710212,Department of Economic Development- Dubai,0,25.204929,55.27084
Grocery Store,Not Applicable,906469,Department of Economic Development- Dubai,1,25.2763519,55.3093291
Restaurant,Italian Cuisine,1391648,Department of Economic Development- Dubai,47,,
Restaurant,Indian cuisine,836879,Department of Economic Development- Dubai,22,25.04878309106489,55.12885299114792
Coffee Shop,Not Applicable,894486,Department of Economic Development- Dubai,6,25.26697469,55.33388614654541
Restaurant,International cuisine,974251,Department of Economic Development- Dubai,9,25.09601187299241,55.315173380076885
Cafeteria,International cuisine,514043,Department of Economic Development- Dubai,9,25.204929,55.27084
Bread & Bakery Products Trading,Arabic cuisine,1485067,Department of Economic Development- Dubai,2,25.06135008725126,55.21819175237592
Coffee Shop,Others,805551,Department of Economic Development- Dubai,2,25.23562220932454,55.31321167945862
Frozen Products Trading,,540672,Department of Economic Development- Dubai,1,25.28760023125157,55.408666133880615
Restaurant,Not Applicable,109015,Department of Economic Development- Dubai,0,25.236414025441057,55.27646254879869
Restaurant,Pakistani cuisine,604525,Department of Economic Development- Dubai,22,25.2622963,55.3334456
Basic Food Hygiene Training,Not Applicable,537319,Department of Economic Development- Dubai,0,25.2348533,55.3541769
Restaurant,Japanese Cuisine,822621,Department of Economic Development- Dubai,6,24.9861124,55.0892533
Restaurant,Pakistani cuisine,1019323,Department of Economic Development- Dubai,0,,
Coffee Shop,Not Applicable,1177642,Department of Economic Development- Dubai,16,25.19632072,55.27994155883789
Food Kiosk,International cuisine,773344,Department of Economic Development- Dubai,2,25.14555202,55.22332483544915
Mini Store,Not Applicable,1081265,Department of Economic Development- Dubai,0,25.2769666,55.3191704
Restaurant,Chinese cuisine,CL0891,Department of Economic Development- Dubai,91,,
Restaurant,Not Applicable,815161,Department of Economic Development- Dubai,30,25.194968377898835,55.27900868
Cafeteria,Indian cuisine,123450,Department of Economic Development- Dubai,10,25.27201874,55.32572427464072
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,563509,Department of Economic Development- Dubai,1,25.204929,55.27084
Bread & Bakery Products Trading,Not Applicable,23859,Department of Economic Development- Dubai,2,25.17573171452871,55.24790550710748
Restaurant,Arabic cuisine,508300,Department of Economic Development- Dubai,0,25.176488629996754,55.38821058251949
Restaurant,International cuisine,1268803,Department of Economic Development- Dubai,18,25.247374273979016,55.295047760009766
Coffee Shop,Not Applicable,967416,Department of Economic Development- Dubai,1,25.2048493,55.2707828
Restaurant,American Cuisine,753885,Department of Economic Development- Dubai,22,25.2537145,55.30273213268082
Coffee Shop,Not Applicable,801730,Department of Economic Development- Dubai,130,25.234576805226915,55.47587625682354
Restaurant,Korean Cuisine,1078489,Department of Economic Development- Dubai,19,25.103794033103192,55.23887876277583
Mini Store,Not Applicable,687146,Department of Economic Development- Dubai,18,25.27066154704228,55.33299766480923
General Trading,Not Applicable,238860,Department of Economic Development- Dubai,128,25.15353354605764,55.23569718003273
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,514650,Department of Economic Development- Dubai,0,25.204929,55.27084
Coffee Shop,Not Applicable,725118,Department of Economic Development- Dubai,11,25.09775138555961,55.15636613279619
Restaurant,Mexican Cuisine,774344,Department of Economic Development- Dubai,5,25.047487490658067,55.12061580976331
Grocery Store,Not Applicable,889448,Department of Economic Development- Dubai,0,,
Restaurant,Philippines Cuisine,769031,Department of Economic Development- Dubai,1,25.23068989757101,55.27261376
Malls/SME/Intaleq,Arabic cuisine,1384227,Department of Economic Development- Dubai,2,,
Restaurant,Indian cuisine,729699,Department of Economic Development- Dubai,15,25.254426441272983,55.32824766536464
Restaurant,Not Applicable,917798,Department of Economic Development- Dubai,1,25.260386616514403,55.29492777752382
Food & Beverages Trading (Sub-activity of Trading),,244585,Department of Economic Development- Dubai,0,25.204929,55.27084
Supermarket,Not Applicable,860241,Department of Economic Development- Dubai,4,25.02420708,55.15794396400452
Food & Beverages Trading (Sub-activity of Trading),,715551,Department of Economic Development- Dubai,13,25.17317629412767,55.390926220984056
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,580489,Department of Economic Development- Dubai,1,25.2272103,55.2745455
Restaurant,Thai Cuisine,633934,Department of Economic Development- Dubai,0,25.14926241198572,55.24611796037175
Restaurant,International cuisine,732468,Department of Economic Development- Dubai,38,25.15047076140216,55.24430037
Restaurant,Pakistani cuisine,589933,Department of Economic Development- Dubai,1,25.27867889966136,55.313322772148126
Restaurant,Indian cuisine,653475,Department of Economic Development- Dubai,0,25.28782269097822,55.37888085891609
Restaurant,Philippines Cuisine,1459161,Department of Economic Development- Dubai,7,25.1559936,55.2370176
Restaurant,Philippines Cuisine,690844,Department of Economic Development- Dubai,0,25.238051490750568,55.27975959437231
Spices Trading,Indian cuisine,925935,Department of Economic Development- Dubai,2,25.274186,55.3316875
Chilled Food Trading,Not Applicable,906404,Department of Economic Development- Dubai,3,25.19938978,55.27495572623647
Restaurant,International cuisine,899585,Department of Economic Development- Dubai,4,25.095466403712667,55.341657758376286
Supermarket,Not Applicable,1057262,Department of Economic Development- Dubai,7,25.173027772805856,55.40185837968093
School,Not Applicable,795301,Department of Economic Development- Dubai,2,25.186010355202857,55.40181577205658
Flour Trading,Not Applicable,858590,Department of Economic Development- Dubai,1,,
Restaurant,Not Applicable,93060,Department of Economic Development- Dubai,2,25.19326515252968,55.26809699464767
Restaurant,Arabic cuisine,1000433,Department of Economic Development- Dubai,1,25.26012952687131,55.19525199414056
Restaurant,Italian Cuisine,1023624,Department of Economic Development- Dubai,47,25.198223484030457,55.27925491333008
Training Centre,International cuisine,689401,Department of Economic Development- Dubai,1,25.2714682,55.3328091
Restaurant,Indian cuisine,1100469,Department of Economic Development- Dubai,10,25.27006880792445,55.29815174639225
Catering Services,International cuisine,1126985,Department of Economic Development- Dubai,101,24.981786966823577,55.13593242
Grocery Store,Not Applicable,633482,Department of Economic Development- Dubai,1,25.2873546,55.3700101
Restaurant,Not Applicable,DMCC-823563,Department of Economic Development- Dubai,7,25.13419614710179,55.19001080888224
Coffee Shop,Thai Cuisine,775656,Department of Economic Development- Dubai,69,25.18923535933837,55.29764389803496
Dry Food Trading,Not Applicable,688759,Department of Economic Development- Dubai,6,25.177911989825784,55.35912171006203
Restaurant,Not Applicable,1210673,Department of Economic Development- Dubai,4,25.17971096511136,55.27508072555065
Cafeteria,Indian cuisine,1260018,Department of Economic Development- Dubai,5,25.26012952687131,55.19525199414056
Restaurant,Pakistani cuisine,556356,Department of Economic Development- Dubai,94,25.184788490617823,55.37490699911291
Coffee Shop,Not Applicable,1103430,Department of Economic Development- Dubai,27,,
Coffee Shop,International cuisine,1038329,Department of Economic Development- Dubai,5,25.12630336496178,55.20363694360351
Restaurant,Others,841105,Department of Economic Development- Dubai,7,25.275471687667714,55.310306021652615
Restaurant,,937195,Department of Economic Development- Dubai,37,25.19756334621461,55.28002738952637
Coffee Shop,Not Applicable,610292,Department of Economic Development- Dubai,0,25.082040659051533,55.13847313836186
Mini Store,Not Applicable,1208678,Department of Economic Development- Dubai,3,25.26012952687131,55.19525199414056
Recreational Services,Others,799169,Department of Economic Development- Dubai,1,25.111380204077115,55.201675824043264
Restaurant,Indian cuisine,826695,Department of Economic Development- Dubai,7,25.283506447555776,55.32886505126953
Restaurant,International cuisine,791131,Department of Economic Development- Dubai,1,25.126038569605765,55.12339174747467
Coffee Shop,Not Applicable,847989,Department of Economic Development- Dubai,0,25.19893369586701,55.27988566
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,228012,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Chinese cuisine,823230,Department of Economic Development- Dubai,0,25.16956547733304,55.35315446555615
Juice and Soft Drinks Shop,International cuisine,623645,Department of Economic Development- Dubai,1,25.0672472,55.3069094
Catering Services,Arabic cuisine,642565,Department of Economic Development- Dubai,2,25.148479223070545,55.24548910149575
Cafeteria,Indian cuisine,966514,Department of Economic Development- Dubai,5,,
Restaurant,Arabic cuisine,1024897,Department of Economic Development- Dubai,12,,
Preparation of Local Sweets,Not Applicable,1157475,Department of Economic Development- Dubai,2,25.13231159212381,55.24749554693699
Supermarket,Not Applicable,669890,Department of Economic Development- Dubai,8,25.04898133675241,55.214869609054574
Supermarket,Not Applicable,540599,Department of Economic Development- Dubai,4,25.204929,55.27084
Food & Beverages Trading (Sub-activity of Food Service),International cuisine,805689,Department of Economic Development- Dubai,7,25.204929,55.27084
Medical Herbs Trading,Not Applicable,649277,Department of Economic Development- Dubai,0,25.2676306,55.2971851
Coffee Shop,Others,750615,Department of Economic Development- Dubai,11,24.902801243202543,55.14251812187501
Restaurant,International cuisine,1025599,Department of Economic Development- Dubai,18,25.064165917065896,55.15771396458149
Central Kitchen,International cuisine,782580,Department of Economic Development- Dubai,20,25.24511862955868,55.36032073716501
Five Star Hotel,International cuisine,615637,Department of Economic Development- Dubai,100,,
Restaurant,Not Applicable,835403,Department of Economic Development- Dubai,6,25.17965634995974,55.23494314402342
Coffee Shop,Not Applicable,716112,Department of Economic Development- Dubai,18,25.204929,55.27084
Restaurant,Chinese cuisine,700023,Department of Economic Development- Dubai,51,25.204849,55.270783
Restaurant,Indian cuisine,1037815,Department of Economic Development- Dubai,2,,
Cafeteria,Indian cuisine,211470,Department of Economic Development- Dubai,8,25.244880027228746,55.30026700347662
Coffee Shop,Italian Cuisine,765225,Department of Economic Development- Dubai,3,25.22947745488492,55.31802933362417
Frozen & Chilled  & Frozen Meat Trading,Not Applicable,565894,Department of Economic Development- Dubai,20,25.185040218784444,55.27695444335973
General Trading,Not Applicable,696621,Department of Economic Development- Dubai,4,25.29078728394052,55.389717807666784
General Trading,Not Applicable,918019,Department of Economic Development- Dubai,1,,
Restaurant,Indian cuisine,1067667,Department of Economic Development- Dubai,3,25.25711665985989,55.42173385620117
Warehousing,Turkish cuisine,703630,Department of Economic Development- Dubai,3,25.163341796753624,55.23794615244242
General Trading,Indian cuisine,902868,Department of Economic Development- Dubai,3,25.29250870914311,55.39971828460693
Restaurant,International cuisine,667821,Department of Economic Development- Dubai,0,25.17518150592528,55.21796959385688
Restaurant,International cuisine,510238,Department of Economic Development- Dubai,0,25.204929,55.27084
Supermarket,Not Applicable,961752,Department of Economic Development- Dubai,17,25.1778893,55.23858535014868
Cafeteria,International cuisine,1042872,Department of Economic Development- Dubai,4,25.07275339,55.13019709540564
Supermarket,Not Applicable,1105787,Department of Economic Development- Dubai,4,25.26012952687131,55.19525199414056
Restaurant,Not Applicable,CL5189,Department of Economic Development- Dubai,51,,
Restaurant,Indian cuisine,961136,Department of Economic Development- Dubai,5,25.17884501,55.37581443786621
Restaurant,Indian cuisine,908659,Department of Economic Development- Dubai,7,25.274764253222543,55.30361741781235
Restaurant,Indian cuisine,639004,Department of Economic Development- Dubai,7,25.204929,55.27084
Restaurant,African cuisine,1040956,Department of Economic Development- Dubai,3,25.177602195651737,55.26741027832031
Nuts Trading,Not Applicable,1003031,Department of Economic Development- Dubai,0,25.2745666,55.3253249
Coffee Shop,Not Applicable,795945,Department of Economic Development- Dubai,1,25.232296482463404,55.26031567931932
Restaurant,Indian cuisine,522631,Department of Economic Development- Dubai,1,25.204929,55.27084
Cafeteria,Indian cuisine,121273,Department of Economic Development- Dubai,1,25.27329444965105,55.29939887794456
Ice Cream Trading,Not Applicable,1274027,Department of Economic Development- Dubai,1,25.157482397511227,55.29607772827149
Supermarket,Not Applicable,1363573,Department of Economic Development- Dubai,2,25.26012952687131,55.19525199414056
Restaurant,Pakistani cuisine,758575,Department of Economic Development- Dubai,21,25.204929,55.27084
Grocery Store,Not Applicable,108837,Department of Economic Development- Dubai,2,25.204929,55.27084
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,504938,Department of Economic Development- Dubai,1,25.17315835638001,55.39324793392336
Cafeteria,Others,744882,Department of Economic Development- Dubai,1,25.2899596,55.3361358
Restaurant,Others,541061,Department of Economic Development- Dubai,1,,
General Trading,Not Applicable,1312239,Department of Economic Development- Dubai,8,,
Restaurant,Indian cuisine,556458,Department of Economic Development- Dubai,13,25.09982856197973,55.19132497
Grocery Store,Not Applicable,625447,Department of Economic Development- Dubai,0,25.16029714566451,55.40330626304952
Supermarket,Not Applicable,233144,Department of Economic Development- Dubai,8,25.185186484126767,55.360210630196434
Restaurant,International cuisine,943037,Department of Economic Development- Dubai,17,25.2352624,55.3033014
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,830144,Department of Economic Development- Dubai,6,25.24495068562244,55.31216830015183
Cafeteria,Turkish cuisine,672560,Department of Economic Development- Dubai,3,25.26012952687131,55.19525199414056
Restaurant,Indian cuisine,516976,Department of Economic Development- Dubai,6,25.26769950045928,55.295335020518905
Grocery Store,Not Applicable,620751,Department of Economic Development- Dubai,1,25.204929,55.27084
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,769175,Department of Economic Development- Dubai,12,25.26907150542209,55.29558630674593
Restaurant,Japanese Cuisine,571980,Department of Economic Development- Dubai,4,25.11868755907624,55.20393278449774
Grocery Store,Others,854462,Department of Economic Development- Dubai,1,25.1853112,55.359539
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,935051,Department of Economic Development- Dubai,3,25.268488257190725,55.29560565948486
Restaurant,Arabic cuisine,1090906,Department of Economic Development- Dubai,9,25.18799094576771,55.26671290397644
Restaurant,Indian cuisine,858408,Department of Economic Development- Dubai,5,24.8526643,55.0572787
Biscuit Manufacturing,Not Applicable,827086,Department of Economic Development- Dubai,8,25.00011917750427,55.74445053935051
Restaurant,Others,558057,Department of Economic Development- Dubai,0,25.204929,55.27084
Cafeteria,Indian cuisine,663692,Department of Economic Development- Dubai,2,25.2717364,55.4089336
Restaurant,Pakistani cuisine,1041899,Department of Economic Development- Dubai,8,25.26012952687131,55.19525199414056
Coffee Shop,International cuisine,738526,Department of Economic Development- Dubai,6,25.081649955273388,55.35156609376463
Ice Cream Shop,Not Applicable,769509,Department of Economic Development- Dubai,0,25.19020359677925,55.40437107891944
Cafeteria,Not Applicable,947522,Department of Economic Development- Dubai,1,25.27011822822751,55.318779945373535
Restaurant,International cuisine,603375,Department of Economic Development- Dubai,4,25.204929,55.27084
Four Star Hotels,Indian cuisine,548925,Department of Economic Development- Dubai,13,25.27205737977749,55.31593658083898
Restaurant,International cuisine,903063,Department of Economic Development- Dubai,5,25.08098014276983,55.14501694329832
Coffee Shop,Arabic cuisine,805042,Department of Economic Development- Dubai,1,25.204929,55.27084
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,925641,Department of Economic Development- Dubai,0,25.16128303114559,55.423249304294586
Cafeteria,American Cuisine,778945,Department of Economic Development- Dubai,0,25.204929,55.27084
Food & Beverages Trading (Sub-activity of Trading),Pakistani cuisine,238025,Department of Economic Development- Dubai,1,25.204929,55.27084
Coffee Shop,Others,1371809,Department of Economic Development- Dubai,1,25.286712171731885,55.359318605300814
Restaurant,Pakistani cuisine,103424,Department of Economic Development- Dubai,6,25.28704605552643,55.39284966477395
Cafeteria,Arabic cuisine,534311,Department of Economic Development- Dubai,11,25.238985194247377,55.27599520572663
Supermarket,Not Applicable,831637,Department of Economic Development- Dubai,0,,
General Trading,Others,207104,Department of Economic Development- Dubai,6,25.26363702340788,55.323028564453125
Catering Services,American Cuisine,821908,Department of Economic Development- Dubai,9,25.2536624,55.3028929
General Trading,Not Applicable,864368,Department of Economic Development- Dubai,1,25.276676699955704,55.308780670166016
Cafeteria,Indian cuisine,541704,Department of Economic Development- Dubai,2,25.27498150277248,55.33172343873344
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,833007,Department of Economic Development- Dubai,0,25.2618587,55.2940457
Vegetable and Fruit Trading,International cuisine,523904,Department of Economic Development- Dubai,2,25.1697965,55.3909868
Vegetable and Fruit Trading,Pakistani cuisine,128679,Department of Economic Development- Dubai,0,25.204929,55.27084
General Trading,Not Applicable,530541,Department of Economic Development- Dubai,26,25.274195851660235,55.32794251543578
Malls/SME/Intaleq,Others,1034429,Department of Economic Development- Dubai,7,,
General Trading,Chinese cuisine,629372,Department of Economic Development- Dubai,0,25.204929,55.27084
Grocery Store,Others,219522,Department of Economic Development- Dubai,0,25.204929,55.27084
Food Kiosk,Not Applicable,951451,Department of Economic Development- Dubai,3,25.21538508326593,55.420717781835926
Restaurant,Pakistani cuisine,1082963,Department of Economic Development- Dubai,1,25.27707814446866,55.311605777927184
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,544567,Department of Economic Development- Dubai,39,25.204929,55.27084
Food Kiosk,,509213,Department of Economic Development- Dubai,6,25.26503419861369,55.31564712524414
Nuts Roasting and Packing (Sub-activity of Manufacturing),Not Applicable,913736,Department of Economic Development- Dubai,2,,
Restaurant,Pakistani cuisine,105034,Department of Economic Development- Dubai,13,25.275982997789946,55.31077424575415
Restaurant,Others,771098,Department of Economic Development- Dubai,9,,
Restaurant,Philippines Cuisine,847005,Department of Economic Development- Dubai,2,,
School,International cuisine,757486,Department of Economic Development- Dubai,5,25.07988040150114,55.23037433624268
Restaurant,Indian cuisine,125269,Department of Economic Development- Dubai,3,25.204929,55.27084
Restaurant,Indian cuisine,869363,Department of Economic Development- Dubai,43,25.16241555094016,55.23421526
Mini Store,Not Applicable,970198,Department of Economic Development- Dubai,1,25.10837093172673,55.19730806350708
Restaurant,International cuisine,814273,Department of Economic Development- Dubai,17,25.07745488796425,55.12458701333596
Restaurant,Not Applicable,805610,Department of Economic Development- Dubai,1,25.26290718433729,55.289964019137976
Restaurant,Indian cuisine,816993,Department of Economic Development- Dubai,38,25.17633691646281,55.244669169187546
Restaurant,Indian cuisine,1454278,Department of Economic Development- Dubai,2,,
Cafeteria,Indian cuisine,1135032,Department of Economic Development- Dubai,22,25.25339058064268,55.30517578
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,752540,Department of Economic Development- Dubai,0,,
Restaurant,Indian cuisine,100395,Department of Economic Development- Dubai,7,25.23717784201062,55.36283571801505
Restaurant,Indian cuisine,107804,Department of Economic Development- Dubai,9,25.29825118204122,55.38650035858154
Vegetable and Fruit Trading,Not Applicable,673738,Department of Economic Development- Dubai,239,25.17387478064181,55.38833361241677
Food & Beverages Trading (Sub-activity of Trading),International cuisine,898739,Department of Economic Development- Dubai,17,,
Cafeteria,Others,110351,Department of Economic Development- Dubai,0,25.20975590251652,55.27015686035156
Frozen & Chilled  & Frozen Meat Trading,Not Applicable,123729,Department of Economic Development- Dubai,1,25.27316095213325,55.29952568131544
Restaurant,Indian cuisine,655725,Department of Economic Development- Dubai,0,25.297560838807303,55.39026219329105
General Trading,Not Applicable,503280,Department of Economic Development- Dubai,0,25.263401088677444,55.29343429667972
Dry Food Trading,Not Applicable,996928,Department of Economic Development- Dubai,1,,
Department Store,Not Applicable,595975,Department of Economic Development- Dubai,197,25.238949797310607,55.30003517151636
Restaurant,Arabic cuisine,1086364,Department of Economic Development- Dubai,1,25.08388295132843,55.20056392997503
Restaurant,Arabic cuisine,1353076,Department of Economic Development- Dubai,55,,
Restaurant,Not Applicable,981536,Department of Economic Development- Dubai,1,,
Restaurant,International cuisine,818195,Department of Economic Development- Dubai,14,25.21321080467576,55.27480561142577
Restaurant,International cuisine,900155,Department of Economic Development- Dubai,1,25.2349902,55.4182642
Coffee Shop,International cuisine,672168,Department of Economic Development- Dubai,13,25.11224170190882,55.206740829750615
Coffee Shop,International cuisine,688288,Department of Economic Development- Dubai,0,25.19576251088804,55.24664461612701
Pastry Preparing,Not Applicable,556819,Department of Economic Development- Dubai,48,25.294166563801195,55.40276179
Five Star Hotel,Not Applicable,524875,Department of Economic Development- Dubai,36,25.260532132051765,55.31805038452149
Restaurant,Pakistani cuisine,1319327,Department of Economic Development- Dubai,69,,
Meat Seller,Not Applicable,562070,Department of Economic Development- Dubai,24,25.278054654202894,55.35002612835006
Restaurant,Pakistani cuisine,641681,Department of Economic Development- Dubai,18,25.17729149042009,55.379676818847656
Restaurant,Indian cuisine,753677,Department of Economic Development- Dubai,26,25.188330749736423,55.405581928789616
Restaurant,Not Applicable,604280,Department of Economic Development- Dubai,1,25.07150901,55.40144968113964
Grocery Store,Not Applicable,652390,Department of Economic Development- Dubai,1,25.272525860408656,55.308387344883954
Supermarket,Others,956368,Department of Economic Development- Dubai,12,25.28944336,55.36890506744385
Restaurant,Not Applicable,624741,Department of Economic Development- Dubai,0,25.28800146630602,55.37894426670391
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,844941,Department of Economic Development- Dubai,1,25.097579177775103,55.340815633535385
Cafeteria,Not Applicable,862465,Department of Economic Development- Dubai,0,25.25870069406411,55.27534693479538
Coffee Shop,International cuisine,846317,Department of Economic Development- Dubai,31,25.01481112168302,55.19313439077757
Coffee Shop,Chinese cuisine,99335,Department of Economic Development- Dubai,3,25.210208757739466,55.27626152551493
Bakery Products Manufacturing,Not Applicable,1412057,Department of Economic Development- Dubai,7,25.3853696,55.4303488
Coffee Shop,Not Applicable,952739,Department of Economic Development- Dubai,64,25.10223300125616,55.23994445800781
Coffee Shop,International cuisine,1070032,Department of Economic Development- Dubai,10,25.197194444111723,55.27974843978882
Catering Services,,733065,Department of Economic Development- Dubai,0,24.988531116870416,55.195076800882816
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,1076928,Department of Economic Development- Dubai,1,,
Grocery Store,Not Applicable,219732,Department of Economic Development- Dubai,1,25.204929,55.27084
Cafeteria,Italian Cuisine,1042733,Department of Economic Development- Dubai,1,,
Cafeteria,Indian cuisine,814412,Department of Economic Development- Dubai,1,,
One Star Hotel,,576851,Department of Economic Development- Dubai,0,25.26994868,55.30767703376426
Restaurant,Indian cuisine,529988,Department of Economic Development- Dubai,1,25.204929,55.27084
Coffee Trading,Not Applicable,CN-3667679,Department of Economic Development- Dubai,1,,
Mini Store,Not Applicable,1005125,Department of Economic Development- Dubai,0,25.2453875,55.3026586
Catering Services,Not Applicable,753008,Department of Economic Development- Dubai,7,25.20705660915209,55.25422770386351
Restaurant,Not Applicable,1111854,Department of Economic Development- Dubai,7,25.16290109450548,55.289616437753736
Food Kiosk,International cuisine,901215,Department of Economic Development- Dubai,2,25.194645469933143,55.27654252946377
Restaurant,International cuisine,1133511,Department of Economic Development- Dubai,25,25.23264974435084,55.43195139616728
Coffee Shop,Not Applicable,641269,Department of Economic Development- Dubai,4,25.28251950807602,55.39868318889551
Restaurant,Not Applicable,1103917,Department of Economic Development- Dubai,24,25.101631851867147,55.23994714021683
Coffee Shop,International cuisine,507722,Department of Economic Development- Dubai,21,25.235232193064945,55.30928324908018
Supermarket,Not Applicable,889359,Department of Economic Development- Dubai,0,25.217328845839845,55.27285046
Food & Beverages Trading (Sub-activity of Trading),International cuisine,206067,Department of Economic Development- Dubai,0,25.204929,55.27084
Juice and Soft Drinks Shop,Not Applicable,983081,Department of Economic Development- Dubai,2,25.19172752374242,55.40799926966429
Cafeteria,Not Applicable,811057,Department of Economic Development- Dubai,0,25.2242499,55.2964715
Coffee Shop,American Cuisine,613195,Department of Economic Development- Dubai,12,25.23466142051428,55.43601930141449
Food & Beverages Trading (Sub-activity of Food Service),Others,813373,Department of Economic Development- Dubai,0,24.87599297425042,55.46377278864384
Restaurant,American Cuisine,581445,Department of Economic Development- Dubai,12,25.223447850549707,55.35516310332969
Restaurant,International cuisine,519588,Department of Economic Development- Dubai,1,25.11410243024776,55.20514431626361
Restaurant,Thai Cuisine,860512,Department of Economic Development- Dubai,19,25.03474918259793,55.14683897119676
Restaurant,Arabic cuisine,1117253,Department of Economic Development- Dubai,1,25.093061204816102,55.19565582275391
Confectionary & Chocolate Trading,Arabic cuisine,1323442,Department of Economic Development- Dubai,9,25.28216008,55.38060676182377
Restaurant,Japanese Cuisine,906644,Department of Economic Development- Dubai,13,,
Restaurant,Arabic cuisine,546565,Department of Economic Development- Dubai,0,25.2739214,55.3201902
Coffee Shop,Japanese Cuisine,1002291,Department of Economic Development- Dubai,7,25.20711557990318,55.26311874389648
Coffee Shop,Not Applicable,816285,Department of Economic Development- Dubai,28,25.2176273,55.2605192
Supermarket,Indian cuisine,239944,Department of Economic Development- Dubai,32,25.27765170875639,55.31011283394946
Restaurant,Not Applicable,981552,Department of Economic Development- Dubai,20,,
Cafeteria,Not Applicable,703942,Department of Economic Development- Dubai,1,25.04314584332503,55.15926897190512
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,798779,Department of Economic Development- Dubai,8,,
Vegetable and Fruit Trading,Not Applicable,623032,Department of Economic Development- Dubai,14,25.17244630885488,55.38839317
Food Trading,International cuisine,1119217,Department of Economic Development- Dubai,3,25.24882813634089,55.30430512304422
Restaurant,Pakistani cuisine,789356,Department of Economic Development- Dubai,63,25.24534502715298,55.339868370893655
Restaurant,Arabic cuisine,1137411,Department of Economic Development- Dubai,27,25.22139490470496,55.27829635888338
General Trading,Not Applicable,726159,Department of Economic Development- Dubai,3,25.20915022944815,55.27252769848519
Restaurant,Indian cuisine,1081307,Department of Economic Development- Dubai,11,25.2393027,55.3012301
