"business_activities","cuisine_name","license_no","licensing_agency","location_gps","number_of_employees","load_timestamp"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai",",","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Chinese cuisine","1216725","Department of Economic Development- Dubai",",","38.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","912052","Department of Economic Development- Dubai","25.2372861,55.3044101","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","836494","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","74.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","218949","Department of Economic Development- Dubai",",","4.00","2026-06-29T16:24:56.000Z"
"Ice Cream Trading","","203303","Department of Economic Development- Dubai","25.2283022336974,55.37304315351421","122.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","525009","Department of Economic Development- Dubai","25.267435687078805,55.318275353438025","13.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","859722","Department of Economic Development- Dubai","25.133315561848008,55.18680501585616","30.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","998669","Department of Economic Development- Dubai","25.216744715292023,55.407915115356445","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","630219","Department of Economic Development- Dubai","25.254011601783606,55.33418655395508","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1206147","Department of Economic Development- Dubai","25.280091621816336,55.34860610961914","9.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kart","Not Applicable","744558","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","694317","Department of Economic Development- Dubai","25.07830926677925,55.13287963225093","46.00","2026-06-29T16:24:56.000Z"
"Three Star Hotel","Not Applicable","758074","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Mini Store","Not Applicable","904238","Department of Economic Development- Dubai","25.133171504728768,55.38022801280022","27.00","2026-06-29T16:24:56.000Z"
"Snack Food Trading","International cuisine","719125","Department of Economic Development- Dubai","24.925227,54.9969743","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","811381","Department of Economic Development- Dubai","25.177332225640196,55.388916757940706","16.00","2026-06-29T16:24:56.000Z"
"Foodstuff Supply Services","International cuisine","1001290","Department of Economic Development- Dubai","25.229682149593497,55.36027483183593","9.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.065483380060783,55.24876356124878","6.00","2026-06-29T16:24:56.000Z"
"Supermarket","International cuisine","546784","Department of Economic Development- Dubai","25.055317470959974,55.41933059692383","15.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1340888","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","31.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1114027","Department of Economic Development- Dubai","25.122052273719465,55.22682040929794","3.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.16493327095555,55.471262199585","7.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","567245","Department of Economic Development- Dubai","25.13550292104417,55.22987477481365","37.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","730662","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","83.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","799973","Department of Economic Development- Dubai","25.217726604024836,55.2783751819652","11.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","805025","Department of Economic Development- Dubai","24.93579034620678,55.47665476799011","0.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","218949","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","550848","Department of Economic Development- Dubai","24.99830267064568,55.45231841504574","70.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","100749","Department of Economic Development- Dubai","25.273370862184432,55.31073269144258","14.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","781518","Department of Economic Development- Dubai","25.18437258151615,55.402104780077934","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","3.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","1268104","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","5.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Arabic cuisine","229443","Department of Economic Development- Dubai","25.138913307434517,55.12810707092285","7.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","979184","Department of Economic Development- Dubai","25.07160584373269,55.30242919921875","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.261915,55.3150506","3.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","696933","Department of Economic Development- Dubai","25.291660411254224,55.39665798459225","34.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","123533","Department of Economic Development- Dubai","25.15176809923586,55.19722855067812","25.00","2026-06-29T16:24:56.000Z"
"Restaurant","","119949","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","","543541","Department of Economic Development- Dubai","25.204929,55.270840","1.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","978601","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.246685467454522,55.339968101696755","4.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","868762","Department of Economic Development- Dubai","25.148904741925428,55.24820029735565","4.00","2026-06-29T16:24:56.000Z"
"Mini Store","Others","736032","Department of Economic Development- Dubai","25.09853107485118,55.20509521377653","4.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","International cuisine","652783","Department of Economic Development- Dubai","25.17812408156306,55.39402663707733","30.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.264510072791527,55.29145262267912","8.00","2026-06-29T16:24:56.000Z"
"Pastry Preparing","Not Applicable","738806","Department of Economic Development- Dubai","25.247362320665438,55.30862280132034","16.00","2026-06-29T16:24:56.000Z"
"Grains, Cereals & Legumes Trading","Japanese Cuisine","577379","Department of Economic Development- Dubai","24.966546185152257,55.192456118286145","35.00","2026-06-29T16:24:56.000Z"
"Fish & Marine Animals Trading","Not Applicable","538150","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Fish & Marine Animals Trading","Others","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","2.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.070050961315363,55.3080940246582","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","575195","Department of Economic Development- Dubai","25.118609000939497,55.19833318174642","42.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Indian cuisine","967797","Department of Economic Development- Dubai","25.198357345293434,55.27717292805517","11.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.07689229628823,55.3020858764648","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","819077","Department of Economic Development- Dubai","24.988608305343188,55.51604703068733","0.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.262085499999998,55.3151185","19.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","573050","Department of Economic Development- Dubai","25.214124972488698,55.2780891347046","1.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","502837","Department of Economic Development- Dubai","25.204929,55.270840","2.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","3.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Arabic cuisine","217213","Department of Economic Development- Dubai","24.887215095982203,55.103816986083984","13.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","1069243","Department of Economic Development- Dubai","25.266892222674993,55.30951492488384","12.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai",",","21.00","2026-06-29T16:24:56.000Z"
"Honey Trading","International cuisine","544981","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","217213","Department of Economic Development- Dubai","25.22313136257102,55.31847953796387","8.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.274325828357966,55.36076431191624","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","628505","Department of Economic Development- Dubai","25.262088,55.3151326","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","628505","Department of Economic Development- Dubai","25.262088,55.3151326","2.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","2.00","2026-06-29T16:24:56.000Z"
"Catering Services","Arabic cuisine","217213","Department of Economic Development- Dubai",",","87.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","696838","Department of Economic Development- Dubai","25.26989507872402,55.397207736968994","28.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1427400","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","9.00","2026-06-29T16:24:56.000Z"
"Global Village","Japanese Cuisine","783974","Department of Economic Development- Dubai","25.06833254369222,55.30840123149413","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","1031888","Department of Economic Development- Dubai",",","53.00","2026-06-29T16:24:56.000Z"
"Fish & Marine Animals Trading","","130304","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","670620","Department of Economic Development- Dubai","25.11099052803331,55.20580849036719","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","849252","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","12.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","689520","Department of Economic Development- Dubai","25.2619603,55.3152971","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Thai Cuisine","678332","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","785335","Department of Economic Development- Dubai","25.149465534418454, 55.28663189418469","11.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","790901","Department of Economic Development- Dubai","25.29807301383449,55.39249518255537","184.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.074093614540025,55.308265686035156","1.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","1041708","Department of Economic Development- Dubai","25.07113938108016,55.309295654296875","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Indian cuisine","533532","Department of Economic Development- Dubai","25.123644136380378,55.191707611083984","6.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","107690","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Food Service)","International cuisine","741004","Department of Economic Development- Dubai","25.2360655,55.3729049","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Others","217213","Department of Economic Development- Dubai",",","29.00","2026-06-29T16:24:56.000Z"
"Restaurant","African cuisine","644412","Department of Economic Development- Dubai","25.24908215905859,55.3028254956007","3.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","794090","Department of Economic Development- Dubai","25.163590544285203,55.207897424697876","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.10627459154217,55.38860321044922","23.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","771","Department of Economic Development- Dubai","25.278643564079598,55.33023312063008","2.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Food Service)","Not Applicable","815304","Department of Economic Development- Dubai","25.2757568,55.3337481","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Arabic cuisine","217213","Department of Economic Development- Dubai","25.261861600000003,55.3254198","5.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","575308","Department of Economic Development- Dubai","25.199045850130435,55.270499570980554","4.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.072072304608508,55.30740737915039","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","801403","Department of Economic Development- Dubai","25.254431227196893,55.3317119982421","4.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","229443","Department of Economic Development- Dubai","25.273727371911228,55.33109664916992","12.00","2026-06-29T16:24:56.000Z"
"Food Stuff Supply Services","International cuisine","954101","Department of Economic Development- Dubai","25.226838958363974,55.36611557006836","4.00","2026-06-29T16:24:56.000Z"
"Private Hospital","Not Applicable","217213","Department of Economic Development- Dubai",",","36.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","567245","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Juice and Soft Drinks Shop","International cuisine","1006424","Department of Economic Development- Dubai","25.092075001437944,55.228174924850464","3.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","2312","Department of Economic Development- Dubai","25.172642954306326,55.387559831142426","247.00","2026-06-29T16:24:56.000Z"
"Floating Restaurant","Not Applicable","816346","Department of Economic Development- Dubai","25.26441323384054,55.31019687652588","2.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Others","628505","Department of Economic Development- Dubai","25.2608988,55.3177427","8.00","2026-06-29T16:24:56.000Z"
"Catering Services","Arabic cuisine","217213","Department of Economic Development- Dubai",",","11.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","217213","Department of Economic Development- Dubai","25.261114118219417,55.372626996305826","124.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","201716","Department of Economic Development- Dubai","24.982479268188346,55.15462875366211","17.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","562123","Department of Economic Development- Dubai","25.177842069807454,55.38779478814196","2.00","2026-06-29T16:24:56.000Z"
"School","Not Applicable","695917","Department of Economic Development- Dubai","25.118087704873293,55.19960403442383","10.00","2026-06-29T16:24:56.000Z"
"Restaurant","Philippines Cuisine","1111552","Department of Economic Development- Dubai","25.25396156845972,55.30302666127682","32.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Arabic cuisine","217213","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Pakistani cuisine","976140","Department of Economic Development- Dubai","25.1799601,55.421921","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","691355","Department of Economic Development- Dubai","25.08896713054948,55.31393109514045","19.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai","25.132088796977285,55.422243475914","22.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","888680","Department of Economic Development- Dubai",",","5.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai","25.078758048582557,55.12287139892578","3.00","2026-06-29T16:24:56.000Z"
"Training Centre","International cuisine","217213","Department of Economic Development- Dubai","25.23263287659317,55.31098715093458","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1427404","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","7.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","788893","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","692542","Department of Economic Development- Dubai","25.198378810055278,55.279340744018555","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","637488","Department of Economic Development- Dubai","25.252472599999997,55.341372799999995","0.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","595078","Department of Economic Development- Dubai","25.2307211364784,55.369720458984375","15.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1096615","Department of Economic Development- Dubai","25.16000726474178,55.36139488220215","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","644982","Department of Economic Development- Dubai","25.23957203909288,55.270376801490784","73.00","2026-06-29T16:24:56.000Z"
"Bread & Bakery Products Trading","International cuisine","614752","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","964632","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","687133","Department of Economic Development- Dubai",",","19.00","2026-06-29T16:24:56.000Z"
"Fresh & Chilled & Frozen Meat Trading","Not Applicable","908695","Department of Economic Development- Dubai","25.164127082298094,55.413081309994524","2.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","585863","Department of Economic Development- Dubai","25.21614980427167,55.36103751833497","5.00","2026-06-29T16:24:56.000Z"
"Malls/SME/Intaleq","Not Applicable","217213","Department of Economic Development- Dubai","24.4538, 54.3774","9.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","502869","Department of Economic Development- Dubai","25.00576087286954,55.108662544967956","29.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","218925","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","1041708","Department of Economic Development- Dubai","25.07005096131539,55.30895233154297","1.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Others","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","2.00","2026-06-29T16:24:56.000Z"
"Governmental Hospital","International cuisine","217213","Department of Economic Development- Dubai","25.233181, 55.321037","5.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","American Cuisine","572244","Department of Economic Development- Dubai","25.204929,55.270840","4.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","766189","Department of Economic Development- Dubai",",","5.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Others","217213","Department of Economic Development- Dubai",",","21.00","2026-06-29T16:24:56.000Z"
"Banqueting","International cuisine","547612","Department of Economic Development- Dubai","25.1437056,55.192780799999994","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","97007","Department of Economic Development- Dubai","24.98892201763003,55.02856936010405","5.00","2026-06-29T16:24:56.000Z"
"Catering Services","Others","217213","Department of Economic Development- Dubai","25.20866871778881,55.275821685791016","12.00","2026-06-29T16:24:56.000Z"
"Catering Services","Others","628505","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","613360","Department of Economic Development- Dubai","25.2621433,55.3152148","14.00","2026-06-29T16:24:56.000Z"
"Five Star Hotel","Not Applicable","758984","Department of Economic Development- Dubai","25.068762094599247,55.134044140577316","50.00","2026-06-29T16:24:56.000Z"
"Hotel Apartments","International cuisine","1026794","Department of Economic Development- Dubai",",","17.00","2026-06-29T16:24:56.000Z"
"Private Hospital","Not Applicable","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","38.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","613011","Department of Economic Development- Dubai","25.202004403907413,55.42771438504133","8.00","2026-06-29T16:24:56.000Z"
"Mineral Water Trading","","245259","Department of Economic Development- Dubai","25.29746304377036,55.39168960937501","65.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","124543","Department of Economic Development- Dubai","25.204929,55.270840","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1165401","Department of Economic Development- Dubai","25.250130167561732,55.274276733398395","11.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai",",","42.00","2026-06-29T16:24:56.000Z"
"Malls/SME/Intaleq","Others","217213","Department of Economic Development- Dubai","24.4538, 54.3774","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","223395","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","130192","Department of Economic Development- Dubai","25.243416269429776,55.30612928567437","54.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","762987","Department of Economic Development- Dubai","25.197574874387342,55.28122499585152","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","841047","Department of Economic Development- Dubai","25.267787,55.3212112","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","687133","Department of Economic Development- Dubai","24.921997, 54.999714","2.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","1087734","Department of Economic Development- Dubai","24.9219107, 54.9996796","2.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","","120461","Department of Economic Development- Dubai","25.11168735653053,55.188593566417694","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","104976","Department of Economic Development- Dubai","","7.00","2026-06-29T16:24:56.000Z"
"Coffee Roasting and Packaging","Not Applicable","656574","Department of Economic Development- Dubai","25.136475665429742,55.23211640188481","9.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Pakistani cuisine","243965","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","130465","Department of Economic Development- Dubai","25.21627331781123,55.2530979561676","2.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.262085499999998,55.3151185","21.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","815327","Department of Economic Development- Dubai","25.261861600000003,55.3254198","11.00","2026-06-29T16:24:56.000Z"
"Restaurant","","714364","Department of Economic Development- Dubai","24.91761051849043,55.008013284017125","13.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","203303","Department of Economic Development- Dubai","24.910415277685846,54.963483810424805","6.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","226138","Department of Economic Development- Dubai","25.27379174663242,55.3093418472381","20.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","878865","Department of Economic Development- Dubai","25.266199399999998,55.381425","12.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","687133","Department of Economic Development- Dubai","24.921997, 54.999714","2.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai","24.96069330828729,55.150465965270996","7.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","655420","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","689520","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Catering Services","Arabic cuisine","217213","Department of Economic Development- Dubai",",","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","860383","Department of Economic Development- Dubai","25.295149447834703,55.37022750295714","16.00","2026-06-29T16:24:56.000Z"
"Confectionary & Chocolate Trading","International cuisine","567245","Department of Economic Development- Dubai","25.134918932904775,55.22906273603439","1.00","2026-06-29T16:24:56.000Z"
"Meat Trading","Not Applicable","670474","Department of Economic Development- Dubai","25.296612110040567,55.36208265984874","15.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","783955","Department of Economic Development- Dubai","25.15025710411473,55.2777099609375","20.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","217213","Department of Economic Development- Dubai","25.035196794486662,55.09855351474607","363.00","2026-06-29T16:24:56.000Z"
"Serving more than 50 meals","International cuisine","217213","Department of Economic Development- Dubai","25.006122128586906,55.134431800201355","35.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","218781","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","734881","Department of Economic Development- Dubai","25.18792298486022,55.26790648698807","3.00","2026-06-29T16:24:56.000Z"
"Serving more than 50 meals","Not Applicable","217213","Department of Economic Development- Dubai","25.066609477965606,55.2102095692901","124.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1021307","Department of Economic Development- Dubai","25.248111772754072,55.3046178817749","5.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","International cuisine","733406","Department of Economic Development- Dubai","25.204929,55.270840","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai","25.261114118219417,55.372626996305826","124.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","680396","Department of Economic Development- Dubai","25.099035824474495,55.37362355595246","21.00","2026-06-29T16:24:56.000Z"
"Private Hospital","International cuisine","217213","Department of Economic Development- Dubai","25.231443555554804,55.32285063257143","108.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","217213","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","831805","Department of Economic Development- Dubai","25.284692699999997,55.3500721","22.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","812861","Department of Economic Development- Dubai","25.249169493445784,55.350778698921204","23.00","2026-06-29T16:24:56.000Z"
"Confectionary & Chocolate Trading","Not Applicable","567245","Department of Economic Development- Dubai","25.134918932904775,55.22906273603439","1.00","2026-06-29T16:24:56.000Z"
"Meat Trading","Not Applicable","649179","Department of Economic Development- Dubai","25.2772633,55.3308603","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","904255","Department of Economic Development- Dubai","25.249975084247303,55.31183172913053","2.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Food Service)","Not Applicable","956178","Department of Economic Development- Dubai","25.2658186,55.3262635","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1360394","Department of Economic Development- Dubai","25.2086669, 55.2811886","25.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","9.00","2026-06-29T16:24:56.000Z"
"Training Centre","Not Applicable","992156","Department of Economic Development- Dubai","25.309890495215367,55.49125671386719","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","217213","Department of Economic Development- Dubai","25.200819101513655,55.274892300367355","11.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Arabic cuisine","1445268","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Arabic cuisine","217213","Department of Economic Development- Dubai",",","24.00","2026-06-29T16:24:56.000Z"
"Restaurant","","847310","Department of Economic Development- Dubai","25.188489698478016,55.26701196062277","38.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","1041708","Department of Economic Development- Dubai","25.07207230460856,55.31015396118164","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","524994","Department of Economic Development- Dubai","25.273860867827423,55.33104782108467","11.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","217213","Department of Economic Development- Dubai","25.2618588,55.3251822","3.00","2026-06-29T16:24:56.000Z"
